word,original_word,difficulty,regression_probability,total_occurrences
state,state,0.8152018291644323,0.0,1
legislature,Legislature,1.0098095815735928,0.0,1
to,to,0.6040362102843704,0.0,1
vermont,Vermont,0.9417744148208708,0.0,1
from,from,0.6991427267980221,0.0,1
the,the,0.5937206175868412,0.0,1
union,Union,0.8783583749618403,0.0,1
in,in,0.6372685347228939,0.0,1
a,a,0.6081858974533765,0.0,1
against,against,0.7904754101342493,0.0,1
anne,Anne,0.8800245005154341,0.0,1
slavery,slavery.,0.9446794514929824,0.0,1
they,They,0.6715368030874127,0.0,1
had,had,0.7068860651133979,0.0,1
five,five,0.776769995696118,0.0,1
children,children,0.7960648958105958,0.0,1
after,after,0.7423490980418985,0.0,1
to,to,0.6040362102843704,0.0,1
which,which,0.7564784693605813,0.0,1
they,they,0.6715368030874127,0.0,1
york,York,0.8052914033160312,0.0,1
new,New,0.7400357656176166,0.0,1
the,the,0.5937206175868412,0.0,1
petitioned,petitioned,1.0488729092819131,0.0,1
hutchinson,"Hutchinson,",1.0,0.0,1
the,the,0.5937206175868412,0.0,1
who,Who,0.6957338417552332,0.0,1
captain,Captain,0.7892157529972758,0.0,1
the,the,0.5937206175868412,0.0,1
puritans,Puritans.,1.0462398460150661,0.0,1
he,He,0.6470059851013474,0.0,1
was,was,0.65887164788901,0.0,1
a,a,0.6081858974533765,0.0,1
in,in,0.6372685347228939,0.0,1
a,a,0.6081858974533765,0.0,1
the,the,0.5937206175868412,0.0,1
underground,Underground,0.9018268665757527,0.0,1
railroad,"Railroad,",0.9005026246689414,0.0,1
and,and,0.6248444987817289,0.0,1
was,was,0.65887164788901,0.0,1
even,even,0.7325032324763256,0.0,1
of,of,0.6305813603225371,0.0,1
where,where,0.7034087911947324,0.0,1
evolution,evolution.,0.9339338900884935,0.0,1
fleming,Fleming,0.9410581808199153,0.0,1
theory,theory,0.867589285654067,0.0,1
the,the,0.5937206175868412,0.0,1
dry,Dry,0.8516684851855982,0.0,1
dock,Dock,0.9100904894819513,0.0,1
co,Co.,0.9320534720103252,0.0,1
august,August,0.9083090752943711,0.0,1
also,also,0.7895661079485404,0.0,1
known,known,0.809838868961847,0.0,1
as,as,0.6958391262768984,0.0,1
the,The,0.5937206175868412,0.0,1
king,King,0.8080517680212745,0.0,1
of,of,0.6305813603225371,0.0,1
rock,Rock,0.8240631190645522,0.0,1
and,and,0.6248444987817289,0.0,1
roll,Roll,0.8362547423218956,0.0,1
sometimes,(sometimes,0.7951951790018279,0.0,1
shortened,shortened,1.0298092856422074,0.0,1
to,to,0.6040362102843704,0.0,1
the,The,0.5937206175868412,0.0,1
king,King),0.8080517680212745,0.0,1
was,was,0.65887164788901,0.0,1
an,an,0.7026837704111513,0.0,1
american,American,0.8173149203073438,0.0,1
singer,singer,0.8913070051284603,0.0,1
and,and,0.6248444987817289,0.0,1
detroit,Detroit,0.9069770491242081,0.0,1
the,the,0.5937206175868412,0.0,1
with,with,0.663350205800777,0.0,1
city,city,0.7974414902183871,0.0,1
born,born,0.8252114938310405,0.0,1
fleming,Fleming,0.9410581808199153,0.0,1
in,in,0.6372685347228939,0.0,1
canada,Canada.,0.9061255671953892,0.0,1
in,In,0.6372685347228939,0.0,1
he,he,0.6470059851013474,0.0,1
left,left,0.7558864581598173,0.0,1
for,for,0.6510417664406014,0.0,1
the,the,0.5937206175868412,0.0,1
nearby,nearby,0.9163049998721102,0.0,1
of,of,0.6305813603225371,0.0,1
later,later,0.7758823996648507,0.0,1
detroit,Detroit,0.9069770491242081,0.0,1
to,to,0.6040362102843704,0.0,1
work,work,0.7361805658374714,0.0,1
as,as,0.6958391262768984,0.0,1
an,an,0.7026837704111513,0.0,1
apprentice,apprentice,0.9738362063699795,0.0,1
first,first,0.7341296467321222,0.0,1
with,with,0.663350205800777,0.0,1
,&,1.0,0.0,1
and,and,0.6248444987817289,0.0,1
actor,actor.,0.8708681037176302,0.0,1
the,The,0.5937206175868412,0.0,1
were,were,0.7071958873222346,0.0,1
of,of,0.6305813603225371,0.0,1
and,and,0.6248444987817289,0.0,1
a,a,0.6081858974533765,0.0,1
treatise,treatise,1.0488729092819131,0.0,1
on,on,0.6506961167559431,0.0,1
in,in,0.6372685347228939,0.0,1
which,which,0.7564784693605813,0.0,1
he,"he,",0.6470059851013474,0.0,1
in,in,0.6372685347228939,0.0,1
the,the,0.5937206175868412,0.0,1
words,words,0.8103244526676028,0.0,1
his,his,0.6975169118357756,0.0,1
system,system,0.8216846767862922,0.0,1
was,was,0.65887164788901,0.0,1
charles,Charles,0.8446890090786625,0.0,1
the,the,0.5937206175868412,0.0,1
of,of,0.6305813603225371,0.0,1
who,who,0.6957338417552332,0.0,1
in,in,0.6372685347228939,0.0,1
turn,turn,0.7739647301507463,0.0,1
is,is,0.6404664208121383,0.0,1
to,to,0.6040362102843704,0.0,1
have,have,0.6554836264450978,0.0,1
of,of,0.6305813603225371,0.0,1
a,a,0.6081858974533765,0.0,1
by,by,0.7157039001067287,0.0,1
then,then,0.7115409768561409,0.0,1
the,the,0.5937206175868412,0.0,1
more,more,0.716957085982228,0.0,1
radical,radical,0.9426883749977251,0.0,1
and,and,0.6248444987817289,0.0,1
by,by,0.7157039001067287,0.0,1
the,the,0.5937206175868412,0.0,1
student,Student,0.8514661579401516,0.0,1
coordinating,Coordinating,0.9955256343027108,0.0,1
committee,Committee,0.8779256986694788,0.0,1
sncc,(SNCC),1.0,0.0,1
headed,headed,0.8647028531367764,0.0,1
which,which,0.7564784693605813,0.0,1
by,by,0.7157039001067287,0.0,1
james,James,0.8346827434359806,0.0,1
foreman,Foreman.,0.9323370015343022,0.0,1
his,His,0.6975169118357756,0.0,1
most,most,0.7686354489631763,0.0,1
important,important,0.789344870100016,0.0,1
scientific,scientific,0.9040217759374787,0.0,1
work,work,0.7361805658374714,0.0,1
is,is,0.6404664208121383,0.0,1
his,his,0.6975169118357756,0.0,1
yale,Yale.,0.8947217460057632,0.0,1
